Time, SinWave, TriWave, SquareWave, TotalAmplitude
13.346,0.399,0.540,0.661,0.160
13.374,0.389,0.491,0.661,0.154
13.399,-0.380,-0.465,-0.661,-0.151
13.435,0.403,0.584,0.661,0.165
13.463,0.357,0.411,0.661,0.143
13.499,-0.397,-0.527,-0.661,-0.158
13.527,-0.260,-0.264,-0.661,-0.118
13.556,0.231,0.231,0.661,0.112
13.583,-0.208,-0.205,-0.661,-0.107
13.610,-0.396,-0.523,-0.661,-0.158
13.636,-0.060,-0.057,-0.661,-0.078
13.671,-0.320,-0.346,-0.661,-0.133
13.700,0.024,0.022,0.661,0.071
13.726,-0.280,-0.291,-0.661,-0.123
13.753,0.025,0.023,0.661,0.071
13.781,0.011,0.011,0.661,0.068
13.807,0.391,0.502,0.661,0.155
13.843,-0.341,-0.381,-0.661,-0.138
13.870,-0.284,-0.296,-0.661,-0.124
13.903,-0.099,-0.094,-0.661,-0.085
13.951,0.397,0.530,0.661,0.159
13.983,-0.266,-0.272,-0.661,-0.120
14.020,-0.333,-0.368,-0.661,-0.136
14.048,-0.159,-0.153,-0.661,-0.097
14.078,0.152,0.146,0.661,0.096
14.107,0.398,0.536,0.661,0.160
14.136,0.048,0.045,0.661,0.075
14.173,0.183,0.178,0.661,0.102
14.202,0.288,0.301,0.661,0.125
14.231,-0.352,-0.401,-0.661,-0.141
14.260,-0.339,-0.377,-0.661,-0.138
14.288,-0.363,-0.424,-0.661,-0.145
14.323,0.397,0.528,0.661,0.159
14.351,0.387,0.488,0.661,0.154
14.378,0.237,0.238,0.661,0.114
14.402,0.240,0.241,0.661,0.114
14.431,-0.192,-0.187,-0.661,-0.104
14.473,0.283,0.294,0.661,0.124
14.511,0.164,0.158,0.661,0.098
14.541,0.361,0.419,0.661,0.144
14.570,-0.190,-0.185,-0.661,-0.104
14.597,0.079,0.075,0.661,0.082
14.627,-0.217,-0.215,-0.661,-0.109
14.666,-0.221,-0.219,-0.661,-0.110
14.697,0.242,0.243,0.661,0.115
14.725,-0.142,-0.136,-0.661,-0.094
14.754,-0.391,-0.500,-0.661,-0.155
14.783,-0.021,-0.020,-0.661,-0.070
14.819,0.089,0.084,0.661,0.083
14.847,0.222,0.221,0.661,0.110
14.876,-0.391,-0.501,-0.661,-0.155
14.910,-0.339,-0.378,-0.661,-0.138
14.947,0.152,0.146,0.661,0.096
14.997,0.125,0.119,0.661,0.090
15.027,-0.358,-0.412,-0.661,-0.143
15.055,-0.364,-0.426,-0.661,-0.145
15.084,0.221,0.219,0.661,0.110
